,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
50,30,Johnson Glens,Jodie,Harris,30,Daughter,Single,Female,Unemployed,None,None
51,31,Johnson Glens,Shannon,Kent,34,Head,Married,Female,"Nurse, learning disability",None,Methodist
52,31,Johnson Glens,Joshua,Kent,37,Husband,Married,Male,English as a second language teacher,None,Methodist
53,31,Johnson Glens,Julian,Kent,1,Son,NA,Male,Child,None,NA
54,31,Johnson Glens,Christine,Bennett,56,Lodger,Widowed,Female,Electrical engineer,None,Methodist
55,32,Johnson Glens,Harriet,Goodwin,39,Head,Divorced,Female,Newspaper journalist,None,Christian
56,33,Johnson Glens,Rosie,Sims,18,Head,Single,Female,University Student,None,Christian
57,33,Johnson Glens,Adrian,Armstrong,21,None,Single,Male,University Student,None,Catholic
58,33,Johnson Glens,Luke,Austin,18,None,Single,male,University Student,None,None
59,34,Johnson Glens,Reece,Adams,24,Head,Single,Male,Newspaper journalist,None,Catholic
60,35,Johnson Glens,Kieran,Jones,85,Head,Widowed,Male,Retired Stage manager,None,Christian
61,36,Johnson Glens,Gail,Scott,72,Head,Divorced,Female,"Retired Engineer, production",None,Christian
62,37,Johnson Glens,Shannon,Berry,26,Head,Single,Female,Archivist,None,Methodist
63,38,Johnson Glens,Dawn,Davies,21,Head,Single,Female,Travel agency manager,None,None
64,39,Johnson Glens,Hayley,Kay,41,Head,Single,Female,Armed forces training and education officer,None,Catholic
65,39,Johnson Glens,Barry,Edwards,40,NA,Single,Male,Forest/woodland manager,None,Catholic
66,39,Johnson Glens,Dale,Kay,14,Son,NA,Male,Student,None,NA
67,40,Johnson Glens,Adrian,Hardy,35,Head,Single,Male,Architect,None,Christian
68,41,Johnson Glens,Shannon,Kennedy,68,Head,Married,Female,Retired Catering manager,None,Catholic
69,41,Johnson Glens,Howard,Kennedy,67,Husband,Married,Male,"Engineer, structural",None,Catholic
70,41,Johnson Glens,Bethan,Kennedy,38,Daughter,Single,Female,"Teacher, secondary school",None,Catholic
71,41,Johnson Glens,Danielle,Kennedy,37,Daughter,Single,Female,Drilling engineer,None,Catholic
72,42,Johnson Glens,Abdul,Bishop,67,Head,Widowed,Male,Medical secretary,None,Christian
73,43,Johnson Glens,Deborah,Chandler,54,Head,Single,Female,"Engineer, maintenance",None,Christian
74,44,Johnson Glens,Katy,Green,41,Head,Single,F,Environmental manager,None,None
75,45,Johnson Glens,Rosemary,Joyce,83,Head,Single,Female,Retired Technical author,None,Christian
76,46,Johnson Glens,Robin,McCarthy,20,Head,Single,Male,University Student,None,Muslim
77,46,Johnson Glens,Gail,Ashton,20,None,Single,Female,University Student,None,NA
78,46,Johnson Glens,Ruth,Carr,21,None,Single,Female,University Student,None,Methodist
79,46,Johnson Glens,Graeme,Moore,20,None,Single,Male,University Student,None,None
80,47,Johnson Glens,Jacob,Smith,39,Head,Divorced,Male,Unemployed,None,Catholic
81,47,Johnson Glens,Jeffrey,Smith,8,Son,NA,Male,Student,None,NA
82,48,Johnson Glens,Leslie,Richardson,76,Head,Married,Male,Retired Lexicographer,None,Christian
83,48,Johnson Glens,Zoe,Richardson,78,Wife,Married,Female,"Retired Surveyor, quantity",None,None
84,49,Johnson Glens,Hollie,Russell,71,Head,Married,Female,"Retired Radiographer, diagnostic",None,Christian
85,49,Johnson Glens,Stewart,Russell,69,Husband,Married,Male,Retired Conference centre manager,None,None
86,50,Johnson Glens,Janet,Collins,39,Head,Married,Female,Network engineer,None,None
87,50,Johnson Glens,Garry,Collins,44,Husband,Married,Male,Interior and spatial designer,None,None
88,1,Albert Avenue,Eric,Richards,53,Head,Married,Male,"Exhibitions officer, museum/gallery",None,Christian
89,1,Albert Avenue,Kathleen,Richards,53,Wife,Married,Female,"Engineer, building services",None,Christian
90,2,Albert Avenue,Sharon,Rogers,69,Head,Married,Female,"Retired Conservation officer, historic buildings",None,Catholic
91,2,Albert Avenue,Kenneth,Rogers-Stokes,67,Husband,Married,Male,Web designer,None,None
92,2,Albert Avenue,Roger,Rogers-Stokes,23,Grandson,Single,Male,"Biochemist, clinical",None,Catholic
93,2,Albert Avenue,Stacey,Gill,23,Granddaughter,Single,Female,Civil Service administrator,None,None
94,2,Albert Avenue,Eleanor,Gill,22,Granddaughter,Single,Female,University Student,None,Catholic
95,3,Albert Avenue,Sally,Whittaker,44,Head,Divorced,Female,Unemployed,None,None
96,3,Albert Avenue,Robert,Whittaker,1,Son,NA,Male,Child,None,NA
97,4,Albert Avenue,Debra,Turner,37,Head,Divorced,Female,Unemployed,None,None
98,4,Albert Avenue,Claire,NA,1,Daughter,NA,Female,Child,None,NA
99,4,Albert Avenue,Sally,Holloway,40,Lodger,Single,Female,"Geologist, wellsite",None,Sikh
100,4,Albert Avenue,Tracey,McDonald,37,Lodger,Single,Female,Sales promotion account executive,None,Christian
101,4,Albert Avenue,Leigh,Stevenson,40,Lodger,Single,Male,"Engineer, automotive",None,Catholic
102,5,Albert Avenue,Terry,Duncan,33,Head,Single,Male,Multimedia programmer,None,None
103,6,Albert Avenue,Kelly,Butler,64,Head,Divorced,Female,"Geologist, wellsite",None,Christian
104,6,Albert Avenue,Grace,Butler,31,Daughter,Single,Female,Special educational needs teacher,None,Christian
105,7,Albert Avenue,Kevin,Davies,75,Head,Single,Male,"Retired Librarian, academic",None,None
106,8,Albert Avenue,Jonathan,Booth,82,Head,Widowed,Male,Retired Animator,None,None
107,9,Albert Avenue,Mohammed,Singh,42,Head,Single,Male,"Lighting technician, broadcasting/film/video",None,Catholic
108,9,Albert Avenue,Cheryl,Roberts,41,Partner,Single,Female,Chief Marketing Officer,None,Catholic
109,10,Albert Avenue,Malcolm,Jones,24,Head,Single,Male,Retail banker,None,None
110,10,Albert Avenue,Thomas,Adams,46,None,Single,Male,Location manager,None,Catholic
111,11,Albert Avenue,Claire,Hayward,60,Head,Divorced,Female,Unemployed,None,None
112,11,Albert Avenue,Gillian,Hayward,18,Daughter,Single,Female,Student,None,None
113,12,Albert Avenue,Harry,Buckley,42,Head,Single,Male,"Pharmacist, community",None,Catholic
114,13,Albert Avenue,Lindsey,Taylor-Gregory,84,Head,Married,Female,Retired Mental health nurse,None,Christian
115,13,Albert Avenue,Joel,Taylor-Gregory,85,Husband,Married,male,"Retired Production assistant, television",None,Christian
116,14,Albert Avenue,NA,Wilkinson,NA,Head,Married,Female,"Pharmacist, hospital",None,None
117,14,Albert Avenue,Ben,Wilkinson,60,Husband,Married,Male,Archaeologist,None,None
118,14,Albert Avenue,Nicole,Wilkinson,29,Daughter,Single,Female,"Development worker, community",None,None
119,14,Albert Avenue,Nicola,Wilkinson,28,Daughter,Single,Female,Careers adviser,None,None
120,14,Albert Avenue,Victoria,Payne,28,Adopted Daughter,Divorced,Female,Fisheries officer,None,None
121,14,Albert Avenue,Patricia,Payne,11,Daughter,NA,Female,Student,None,NA
122,15,Albert Avenue,Raymond,Fletcher,21,Head,Single,Male,University Student,None,Catholic
123,16,Albert Avenue,Howard,Wood,21,Head,Single,Male,University Student,None,Christian
124,16,Albert Avenue,Leslie,Andrews,21,None,Single,Male,University Student,None,Muslim
125,16,Albert Avenue,Jayne,Davies,22,None,Single,f,University Student,None,Christian
126,16,Albert Avenue,Gareth,Davis,19,None,Single,Male,University Student,Unknown Infection,None
127,16,Albert Avenue,Beth,Powell,22,None,Single,Female,University Student,None,Catholic
128,17,Albert Avenue,Donna,Spencer,64,Head,Divorced,Female,"Doctor, general practice",None,Christian
129,17,Albert Avenue,Josephine,Spencer,31,Daughter,Single,Female,Warehouse manager,None,Christian
130,17,Albert Avenue,Stephen,Spencer,31,Son,Divorced,Male,Armed forces operational officer,None,None
131,17,Albert Avenue,Dorothy,Spencer,27,Daughter,Single,Female,Higher education careers adviser,None,None
132,18,Albert Avenue,Maria,Rogers,56,Head,Married,Female,Podiatrist,None,Christian
133,18,Albert Avenue,Leigh,Rogers,60,Husband,Married,Male,Psychiatric nurse,None,None
134,18,Albert Avenue,Phillip,Rogers,28,Son,Single,Male,Chief Financial Officer,None,Christian
135,18,Albert Avenue,Paul,Rogers,27,Son,Divorced,m,Fashion designer,None,Christian
136,19,Albert Avenue,Gail,Lewis,53,Head,Single,Female,Magazine features editor,None,Christian
137,19,Albert Avenue,Liam,Lewis,22,Son,Single,NA,University Student,None,Christian
138,20,Albert Avenue,Debra,Webb,67,Head,Divorced,Female,"Secretary, company",None,Methodist
139,20,Albert Avenue,Rhys,Potter,11,Grandson,NA,Male,Student,None,NA
140,21,Albert Avenue,Kathleen,Goodwin,21,Head,Married,Female,"Secretary, company",None,None
141,21,Albert Avenue,Frederick,Goodwin,25,Husband,Married,Male,Retail merchandiser,None,None
142,21,Albert Avenue,Leanne,Goodwin,4,Daughter,NA,Female,Child,None,NA
143,22,Albert Avenue,Sam,Williams,44,Head,Single,Male,"Surveyor, building",None,None
144,22,Albert Avenue,David,Middleton,7,Step-Son,NA,Male,Student,None,NA
145,22,Albert Avenue,Leonard,Nash,6,Step-Son,NA,Male,Student,None,NA
146,23,Albert Avenue,Karen,Bull,37,Head,Single,Female,Records manager,None,Christian
147,23,Albert Avenue,Mitchell,Akhtar,40,Sibling,Single,Male,Unemployed,None,Christian
148,24,Albert Avenue,Alexander,Ball,81,Head,Divorced,NA,Retired Copy,None,Christian
149,25,Albert Avenue,Ruth,Clarke,34,Head,Married,Female,Ceramics designer,None,Christian
150,25,Albert Avenue,Owen,Clarke,36,Husband,Married,Male,Unemployed,None,Christian
151,25,Albert Avenue,Catherine,Griffiths,44,Lodger,Single,Female,Unemployed,None,Methodist
152,25,Albert Avenue,Lauren,Bowen,45,Lodger,Divorced,Female,Advertising art director,None,Catholic
153,25,Albert Avenue,Anthony,Davies,59,Lodger,Single,Male,Unemployed,None,Jewish
154,26,Albert Avenue,Elaine,Williams,37,Head,Married,Female,Health visitor,None,None
155,26,Albert Avenue,Ricky,Williams,39,Husband,Married,Male,Amenity horticulturist,None,None
156,26,Albert Avenue,Stephanie,Williams,5,Daughter,NA,Female,Student,None,NA
157,26,Albert Avenue,Guy,Williams,1,Son,NA,male,Child,None,NA
158,27,Albert Avenue,Gail,Dyer,22,Head,Single,Female,University Student,None,Sikh
159,28,Albert Avenue,Stephen,Williams,51,Head,Single,Male,Chartered loss adjuster,None,Christian
160,28,Albert Avenue,Wayne,Davis,18,None,Single,Male,Student,None,NA
161,28,Albert Avenue,Grace,Brown,50,None,Single,Female,"Editor, film/video",None,Methodist
162,28,Albert Avenue,Sandra,Smith,61,None,Single,Female,"Restaurant manager, fast food",None,None
163,29,Albert Avenue,Leanne,Evans,56,Head,Single,Female,Unemployed,None,None
164,29,Albert Avenue,Amy,Grant,27,None,Single,Female,Editorial assistant,None,None
165,29,Albert Avenue,Alexander,Goddard,47,None,Single,Male,Medical technical officer,None,Catholic
166,30,Albert Avenue,Joseph,Carroll,65,Head,Married,Male,Architectural technologist,None,Christian
167,30,Albert Avenue,Teresa,Allen,61,Wife,Married,Female,Insurance broker,None,None
168,31,Albert Avenue,Carol,Brookes,27,Head,Divorced,Female,Camera operator,None,None
169,31,Albert Avenue,Elaine,Brookes,3,Daughter,NA,Female,Child,None,NA
170,31,Albert Avenue,Danny,Brookes,1,Son,NA,Male,Child,None,NA
171,32,Albert Avenue,Margaret,Thornton,52,Head,Divorced,Female,Actor,None,Methodist
172,32,Albert Avenue,Melissa,Griffin,60,Lodger,Single,Female,Holiday representative,None,Christian
173,32,Albert Avenue,Katie,Holland,47,Sibling,Single,Female,Insurance underwriter,None,Christian
174,32,Albert Avenue,Shirley,Wall,23,Lodger,Single,Female,Accounting technician,None,Catholic
175,33,Albert Avenue,Mark,Page,85,Head,Single,Male,Retired Child psychotherapist,None,Christian
176,34,Albert Avenue,Catherine,Brown,25,Head,Married,Female,Sales executive,None,None
177,34,Albert Avenue,Max,Brown,26,Husband,Married,Male,Systems analyst,None,None
178,34,Albert Avenue,Molly,Brown,3,Daughter,NA,Female,Child,None,NA
179,34,Albert Avenue,Tina,Martin,3,Daughter,NA,Female,Child,None,NA
180,34,Albert Avenue,Abbie,Johnson,52,Lodger,Single,Female,"Scientist, water quality",None,Christian
181,35,Albert Avenue,Kimberley,Watkins,24,Head,Married,Female,Broadcast presenter,None,None
182,35,Albert Avenue,Adrian,Watkins,26,Husband,Married,Male,Scientific laboratory technician,None,None
183,35,Albert Avenue,Antony,Watkins,1,Son,NA,Male,Child,None,NA
184,36,Albert Avenue,Denise,French,63,Head,Married,F,Recruitment consultant,None,Catholic
185,36,Albert Avenue,Philip,Green,63,Husband,Married,Male,"Engineer, materials",None,Catholic
186,36,Albert Avenue,Conor,French,27,Son,NA,Male,"Teacher, early years/pre",None,None
187,36,Albert Avenue,Connor,French,23,Son,Single,Male,Metallurgist,None,Catholic
188,37,Albert Avenue,Alice,Davies,91,Head,Married,Female,Retired Telecommunications researcher,None,Christian
189,37,Albert Avenue,Gavin,Davies,89,Husband,Married,Male,"Retired Surveyor, commercial/residential",None,None
190,38,Albert Avenue,Gemma,Naylor,37,Head,Divorced,Female,Further education lecturer,None,None
191,38,Albert Avenue,Lucy,Naylor,9,Adopted Daughter,NA,Female,Student,None,NA
192,38,Albert Avenue,Shaun,Naylor,5,Son,NA,Male,Student,None,NA
193,38,Albert Avenue,Leah,Naylor,2,Daughter,NA,Female,Child,None,NA
194,39,Albert Avenue,Marie,Preston,31,Head,Married,Female,Unemployed,None,Christian
195,39,Albert Avenue,Adam,Preston,33,Husband,Married,Male,General practice doctor,None,None
196,39,Albert Avenue,Carol,Preston,6,Daughter,NA,Female,Student,None,NA
197,40,Albert Avenue,Peter,Quinn,38,Head,Divorced,Male,"Scientist, research (life sciences)",None,None
198,40,Albert Avenue,Leslie,Quinn,17,Son,NA,Male,Student,None,NA
199,41,Albert Avenue,Conor,Norman,61,Head,Single,Male,Volunteer coordinator,None,Christian
200,41,Albert Avenue,Joan,Bolton,58,Partner,Single,Female,Youth worker,None,Christian
201,42,Albert Avenue,Jasmine,Gregory,64,Head,Married,Female,Chief Operating Officer,None,Christian
202,42,Albert Avenue,Frank,Gregory,67,Husband,Married,Male,Unemployed,None,None
203,42,Albert Avenue,Ian,Gregory,42,Son,Single,Male,Tax inspector,None,Christian
204,42,Albert Avenue,Ronald,Gregory,42,Son,Single,Male,English as a foreign language teacher,None,Christian
205,42,Albert Avenue,Albert,Gregory,41,Son,Divorced,Male,Seismic interpreter,None,None
206,43,Albert Avenue,Paula,Wilson,32,Head,Married,Female,Government social research officer,None,None
207,43,Albert Avenue,Charles,Wilson,33,Husband,Married,Male,IT technical support officer,None,None
208,43,Albert Avenue,Robert,Wilson,6,Son,NA,Male,Student,None,NA
209,43,Albert Avenue,Fiona,Wilson,5,Daughter,NA,Female,Student,None,NA
210,44,Albert Avenue,Brenda,Hudson,51,Head,Single,Female,Furniture designer,None,Christian
211,44,Albert Avenue,Damien,Parsons,53,Partner,Single,Male,"Scientist, audiological",None,Christian
212,45,Albert Avenue,Sylvia,Hudson,49,Head,Married,Female,"Conservator, museum/gallery",None,Christian
213,45,Albert Avenue,Martyn,Hudson,49,Husband,Married,Male,Armed forces logistics/support/administrative officer,None,Christian
214,45,Albert Avenue,Brenda,Hudson,17,Adopted Daughter,NA,Female,Student,None,NA
215,45,Albert Avenue,John,Hudson,13,Son,NA,Male,Student,None,NA
216,45,Albert Avenue,Peter,Hudson,13,Son,NA,Male,Student,None,NA
217,46,Albert Avenue,Ellie,Wall,65,Head,Married,Female,Colour technologist,None,Christian
218,46,Albert Avenue,Luke,Wall,70,Husband,Married,Male,Retired Horticultural therapist,None,Christian
219,47,Albert Avenue,Kathleen,NA,50,Head,Married,female,Heritage manager,None,Catholic
220,47,Albert Avenue,Frank,NA,51,Husband,Married,Male,Community arts worker,None,Catholic
221,48,Albert Avenue,Diane,Simpson-Rowe,70,Head,Married,Female,Retired Housing manager/officer,None,NA
222,48,Albert Avenue,Thomas,Simpson-Rowe,71,Husband,Married,Male,Retired Radio broadcast assistant,None,None
223,49,Albert Avenue,Anthony,Metcalfe,41,Head,Divorced,Male,Unemployed,None,None
224,50,Albert Avenue,Rosemary,Haynes,88,Head,Married,Female,Retired Trade mark attorney,None,Christian
225,50,Albert Avenue,Nathan,Haynes,89,Husband,Married,Male,"Retired Therapist, art",None,Christian
226,51,Albert Avenue,Harriet,Kirby,58,Head,Married,Female,Immigration officer,None,Christian
227,51,Albert Avenue,Iain,Kirby,63,Husband,Married,Male,"Pharmacist, community",None,Christian
228,51,Albert Avenue,Brenda,Kirby,34,Daughter,Divorced,Female,"Sales professional, IT",None,None
229,51,Albert Avenue,Kathryn,Kirby,34,Daughter,Single,Female,Unemployed,None,Christian
230,52,Albert Avenue,Rosie,Holt,27,Head,Single,Female,Food technologist,None,None
231,52,Albert Avenue,Rachel,Lewis,47,None,Single,Female,Medical technical officer,None,Catholic
232,53,Albert Avenue,Susan,NA,35,Head,Single,Female,"Research officer, government",None,Catholic
233,53,Albert Avenue,Neil,Johnson,45,Lodger,Single,Male,Politician's assistant,None,None
234,53,Albert Avenue,Joe,Thomas,61,Lodger,Single,Male,Accommodation manager,None,Christian
235,53,Albert Avenue,Judith,Lord,53,Lodger,Single,Female,"Accountant, chartered certified",None,Catholic
236,53,Albert Avenue,Philip,Fletcher,46,Lodger,Single,Male,Medical physicist,None,NA
237,54,Albert Avenue,Eileen,Wilson,49,Head,Married,Female,"Designer, interior/spatial",None,Catholic
238,54,Albert Avenue,Alex,Wilson,51,Husband,Married,Male,Environmental health practitioner,None,Catholic
239,54,Albert Avenue,Sheila,Wilson,8,Daughter,NA,Female,Student,None,NA
240,54,Albert Avenue,Carolyn,Wilson,5,Daughter,NA,Female,Student,None,NA
241,55,Albert Avenue,Lewis,Begum,65,Head,Widowed,Male,Unemployed,None,Catholic
242,55,Albert Avenue,Mathew,Donnelly-Begum,43,Son,Divorced,Male,"Programmer, systems",None,Catholic
243,56,Albert Avenue,Abbie,White,73,Head,Widowed,Female,Retired Immigration officer,None,Muslim
244,57,Albert Avenue,Anna,Rice,68,Head,Widowed,female,"Retired Designer, graphic",None,Christian
245,58,Albert Avenue,Anne,Glover,73,Head,Widowed,Female,Retired Dealer,None,Christian
246,58,Albert Avenue,NA,Glover,36,Son,Divorced,Male,Unemployed,None,Christian
247,59,Albert Avenue,Dorothy,Gibson,77,Head,Married,Female,Retired Economist,None,Methodist
248,59,Albert Avenue,Justin,Gibson,82,Husband,Married,Male,Retired Retail manager,None,None
249,60,Albert Avenue,Mary,Carter,69,Head,Married,Female,Retired Community education officer,None,Christian
250,60,Albert Avenue,Oliver,NA,70,Husband,Married,Male,"Retired Research officer, trade union",None,None
251,61,Albert Avenue,Dean,Wall,59,Head,Married,Male,Medical technical officer,None,None
252,61,Albert Avenue,Frances,Wall,56,Wife,Married,Female,"Surveyor, insurance",None,None
253,62,Albert Avenue,Andrea,Woodward,42,Head,Single,Female,Immigration officer,None,Christian
254,63,Albert Avenue,Jodie,Edwards,50,Head,Single,Female,Airline pilot,None,Catholic
255,NA,Albert Avenue,Dennis,Edwards,10,Son,NA,Male,Student,None,NA
256,NA,Albert Avenue,Paige,Barton,41,Head,Married,Female,Unemployed,None,None
257,64,Albert Avenue,David,Barton,43,Husband,Married,m,Games developer,None,None
258,64,Albert Avenue,Jade,Barton,9,Daughter,NA,Female,Student,None,NA
259,65,Albert Avenue,Natasha,Cook,27,Head,Married,Female,"Designer, graphic",None,Catholic
260,65,Albert Avenue,Max,Cook,33,Husband,Married,Male,Unemployed,None,None
261,65,Albert Avenue,Danny,Cook,3,Son,NA,Male,Child,None,NA
262,65,Albert Avenue,Kieran,Cook,3,Son,NA,Male,Child,None,NA
263,66,Albert Avenue,Lawrence,Taylor,73,Head,Widowed,Male,Retired Jewellery designer,None,None
264,67,Albert Avenue,Samantha,Moore,25,Head,Married,Female,IT technical support officer,None,Muslim
265,67,Albert Avenue,Raymond,Moore,30,Husband,Married,Male,Best boy,None,None
266,67,Albert Avenue,Marion,Moore,8,Daughter,NA,Female,Student,None,NA
267,68,Albert Avenue,Scott,Mills,60,Head,Divorced,Male,Environmental education officer,None,Housekeeper
268,68,Albert Avenue,Jacqueline,Mills,8,Granddaughter,NA,Female,Student,None,NA
269,69,Albert Avenue,Ben,Gibbs,50,Head,Single,Male,Financial adviser,None,None
270,69,Albert Avenue,Simon,North,36,None,Divorced,Male,"Geologist, engineering",None,Catholic
271,69,Albert Avenue,Gareth,Smith,57,None,Single,Male,"Teacher, English as a foreign language",None,None
272,70,Albert Avenue,Jean,Davies,46,Head,Divorced,Female,Unemployed,None,Catholic
273,70,Albert Avenue,Mohammad,Glover-Davies,10,Son,NA,Male,Student,None,NA
274,71,Albert Avenue,Paige,Sinclair,51,Head,Married,Female,Museum education officer,None,Catholic
275,71,Albert Avenue,Terry,Sinclair,53,Husband,Married,Male,Electrical engineer,None,Catholic
276,72,Albert Avenue,Sarah,Knight,79,Head,NA,Female,"Retired Education officer, community",None,Christian
277,72,Albert Avenue,Anthony,Knight,16,NA,NA,Male,Student,None,NA
278,73,Albert Avenue,Natasha,Vaughan,64,Head,Married,Female,Press photographer,None,Catholic
279,73,Albert Avenue,Darren,Vaughan,65,Husband,Married,Male,Furniture designer,None,None
280,73,Albert Avenue,Jane,Vaughan,40,Daughter,Single,Female,Health service manager,None,Catholic
281,73,Albert Avenue,Conor,Vaughan,39,Son,Single,Male,Barista,None,None
282,73,Albert Avenue,Kathleen,Vaughan,38,Daughter,Single,Female,Broadcast presenter,None,Catholic
283,74,Albert Avenue,Samantha,Patel,31,Head,Single,Female,Arboriculturist,None,None
284,75,Albert Avenue,Yvonne,Brown,41,Head,Single,Female,Outdoor activities/education manager,None,Sikh
285,76,Albert Avenue,Zoe,Bishop,52,Head,Single,Female,"Research officer, political party",None,Christian
286,76,Albert Avenue,Adam,Riley,53,Partner,Single,Male,Electronics engineer,None,Christian
287,77,Albert Avenue,Gillian,Wood,89,Head,Married,Female,Retired Commissioning editor,None,Christian
288,77,Albert Avenue,Ryan,Wood,90,Husband,Married,Male,Retired Ranger/warden,None,None
289,78,Albert Avenue,Sharon,Martin,30,Head,Divorced,Female,Corporate treasurer,None,None
290,78,Albert Avenue,Caroline,Martin,5,Daughter,NA,Female,Student,None,NA
291,78,Albert Avenue,Joan,Martin,1,Daughter,NA,Female,Child,None,NA
292,78,Albert Avenue,Anna,Martin,0,Daughter,NA,Female,Child,None,NA
293,78,Albert Avenue,Mark,Davies,42,Lodger,Single,male,Geochemist,None,Catholic
294,79,Albert Avenue,Sheila,Alexander,56,Head,Single,Female,Mining engineer,None,Christian
295,79,Albert Avenue,Clive,Palmer,60,Partner,Single,Male,Chartered public finance accountant,NA,Christian
296,80,Albert Avenue,Amanda,Young,51,Head,Married,Female,Advertising account planner,None,None
297,80,Albert Avenue,Timothy,Young,49,Husband,Married,Male,Education administrator,None,None
298,80,Albert Avenue,Malcolm,Young,17,Son,NA,Male,Student,None,NA
